Workflow ID,Workflow Pattern,Workflow Arrival Time,Workflow Finish Time,Workflow Deadline,Workflow Deadline Penalty,Task Index,Task Size,Task Execution Time,Task Ready Time,Task Start Time,Task Finish Time,VM ID,VM speed,Price,VM Rent Start Time,VM Rent End Time,VM Pending Index
0,7,0.0,37117.7816,18558.8908,2.2372593866666666,49,521.8784,260.9392,0.0,0.0,260.9392,714,2,0.096,0.0,3600.0,0
0,7,0.0,37117.7816,18558.8908,2.2372593866666666,50,33035.9792,16517.9896,0.0,0.0,16517.9896,2292,2,0.096,0.0,18000.0,0
0,7,0.0,37117.7816,18558.8908,2.2372593866666666,51,3277.3168,1638.6584,16517.9896,16517.9896,18156.648,2441,2,0.096,16517.9896,20117.9896,0
0,7,0.0,37117.7816,18558.8908,2.2372593866666666,52,18.408,9.204,18156.648,18156.648,18165.852000000003,1188,2,0.096,18156.648,21756.648,0
0,7,0.0,37117.7816,18558.8908,2.2372593866666666,53,82.4816,41.2408,18156.648,18156.648,18197.8888,8476,2,0.096,18156.648,21756.648,0
0,7,0.0,37117.7816,18558.8908,2.2372593866666666,54,22542.5984,11271.2992,18156.648,18156.648,29427.947200000002,5620,2,0.096,18156.648,32556.648,0
0,7,0.0,37117.7816,18558.8908,2.2372593866666666,55,528.0,264.0,18165.852000000003,18165.852000000003,18429.852000000003,9730,2,0.096,18165.852000000003,21765.852000000003,0
0,7,0.0,37117.7816,18558.8908,2.2372593866666666,56,98.9312,49.4656,18156.648,18156.648,18206.1136,970,2,0.096,18156.648,21756.648,0
0,7,0.0,37117.7816,18558.8908,2.2372593866666666,57,31.7424,15.8712,29427.947200000002,29427.947200000002,29443.818400000004,43,2,0.096,29427.947200000002,33027.9472,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,0,1.6208,0.8104,2146.1081204784628,2146.1081204784628,2146.9185204784626,2354,2,0.096,2146.1081204784628,5746.108120478462,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,1,25.512,12.756,2132.4977204784627,2132.4977204784627,2145.2537204784626,6007,2,0.096,2132.4977204784627,5732.497720478463,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,2,25.4688,12.7344,2132.4977204784627,2132.4977204784627,2145.2321204784625,3604,2,0.096,2132.4977204784627,5732.497720478463,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,3,21.9648,10.9824,2132.4977204784627,2132.4977204784627,2143.4801204784626,3280,2,0.096,2132.4977204784627,5732.497720478463,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,4,13.0256,6.5128,2132.4977204784627,2132.4977204784627,2139.0105204784627,5162,2,0.096,2132.4977204784627,5732.497720478463,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,5,12.6816,6.3408,2132.4977204784627,2132.4977204784627,2138.8385204784627,5618,2,0.096,2132.4977204784627,5732.497720478463,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,6,17.344,8.672,2132.4977204784627,2132.4977204784627,2141.1697204784628,28,2,0.096,2132.4977204784627,5732.497720478463,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,7,25.3616,12.6808,2132.4977204784627,2132.4977204784627,2145.178520478463,2903,2,0.096,2132.4977204784627,5732.497720478463,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,8,17.5152,8.7576,2132.4977204784627,2132.4977204784627,2141.2553204784626,3252,2,0.096,2132.4977204784627,5732.497720478463,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,9,24.8528,12.4264,2132.4977204784627,2132.4977204784627,2144.9241204784626,6448,2,0.096,2132.4977204784627,5732.497720478463,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,10,19.4224,9.7112,2132.4977204784627,2132.4977204784627,2142.208920478463,9830,2,0.096,2132.4977204784627,5732.497720478463,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,11,15.9104,7.9552,2132.4977204784627,2132.4977204784627,2140.4529204784626,8969,2,0.096,2132.4977204784627,5732.497720478463,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,12,17.1504,8.5752,2132.4977204784627,2132.4977204784627,2141.072920478463,7426,2,0.096,2132.4977204784627,5732.497720478463,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,13,27.2208,13.6104,2132.4977204784627,2132.4977204784627,2146.1081204784628,9077,2,0.096,2132.4977204784627,5732.497720478463,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,14,13.4752,6.7376,2132.4977204784627,2132.4977204784627,2139.2353204784627,612,2,0.096,2132.4977204784627,5732.497720478463,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,15,15.5776,7.7888,2132.4977204784627,2132.4977204784627,2140.2865204784625,4186,2,0.096,2132.4977204784627,5732.497720478463,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,16,16.7552,8.3776,2132.4977204784627,2132.4977204784627,2140.8753204784625,9284,2,0.096,2132.4977204784627,5732.497720478463,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,17,17.3888,8.6944,2132.4977204784627,2132.4977204784627,2141.1921204784626,8809,2,0.096,2132.4977204784627,5732.497720478463,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,18,15696.4432,7848.2216,2132.4977204784627,2132.4977204784627,9980.719320478463,9738,2,0.096,2132.4977204784627,12932.497720478463,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,19,760.2688,380.1344,2132.4977204784627,2132.4977204784627,2512.6321204784626,4108,2,0.096,2132.4977204784627,5732.497720478463,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,20,711.5152,355.7576,2132.4977204784627,2132.4977204784627,2488.2553204784626,5736,2,0.096,2132.4977204784627,5732.497720478463,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,21,39185.2768,19592.6384,2132.4977204784627,2132.4977204784627,21725.136120478463,4263,2,0.096,2132.4977204784627,23732.497720478463,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,22,7859.7408,3929.8704,21725.136120478463,21725.136120478463,25655.006520478462,8319,2,0.096,21725.136120478463,28925.136120478463,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,23,24.872,12.436,25655.006520478462,25655.006520478462,25667.442520478464,279,2,0.096,25655.006520478462,29255.006520478462,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,24,95.8464,47.9232,25655.006520478462,25655.006520478462,25702.929720478463,9338,2,0.096,25655.006520478462,29255.006520478462,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,25,23462.888,11731.444,25655.006520478462,25655.006520478462,37386.450520478465,3912,2,0.096,25655.006520478462,40055.00652047846,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,26,528.0,264.0,25667.442520478464,25667.442520478464,25931.442520478464,815,2,0.096,25667.442520478464,29267.442520478464,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,27,55.3888,27.6944,25655.006520478462,25655.006520478462,25682.700920478463,3309,2,0.096,25655.006520478462,29255.006520478462,0
18,3,2132.4977204784627,37403.88412047846,19768.19092047846,2.1757128800000003,28,34.8672,17.4336,37386.450520478465,37386.450520478465,37403.88412047846,2628,2,0.096,37386.450520478465,40986.450520478465,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,0,1.4976,0.7488,396.3717409578578,396.3717409578578,397.1205409578578,25,2,0.096,396.3717409578578,3996.3717409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,1,18.4672,9.2336,382.4949409578578,382.4949409578578,391.72854095785783,7316,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,2,16.7408,8.3704,382.4949409578578,382.4949409578578,390.8653409578578,4305,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,3,27.7536,13.8768,382.4949409578578,382.4949409578578,396.3717409578578,2610,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,4,19.0848,9.5424,382.4949409578578,382.4949409578578,392.0373409578578,5531,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,5,19.0272,9.5136,382.4949409578578,382.4949409578578,392.0085409578578,6926,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,6,23.7248,11.8624,382.4949409578578,382.4949409578578,394.3573409578578,7204,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,7,13.2864,6.6432,382.4949409578578,382.4949409578578,389.1381409578578,6922,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,8,18.568,9.284,382.4949409578578,382.4949409578578,391.7789409578578,4182,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,9,20.6176,10.3088,382.4949409578578,382.4949409578578,392.8037409578578,307,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,10,20.3536,10.1768,382.4949409578578,382.4949409578578,392.6717409578578,5302,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,11,26.7984,13.3992,382.4949409578578,382.4949409578578,395.8941409578578,1152,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,12,17.824,8.912,382.4949409578578,382.4949409578578,391.4069409578578,6950,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,13,17.3152,8.6576,382.4949409578578,382.4949409578578,391.1525409578578,8467,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,14,20.6512,10.3256,382.4949409578578,382.4949409578578,392.8205409578578,5294,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,15,24.5168,12.2584,382.4949409578578,382.4949409578578,394.7533409578578,1208,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,16,21.9888,10.9944,382.4949409578578,382.4949409578578,393.4893409578578,2492,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,17,20208.4432,10104.2216,382.4949409578578,382.4949409578578,10486.71654095786,8829,2,0.096,382.4949409578578,11182.494940957858,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,18,630.4304,315.2152,382.4949409578578,382.4949409578578,697.7101409578578,770,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,19,715.4416,357.7208,382.4949409578578,382.4949409578578,740.2157409578579,8286,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,20,48442.3136,24221.1568,382.4949409578578,382.4949409578578,24603.65174095786,5995,2,0.096,382.4949409578578,25582.49494095786,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,21,4825.8912,2412.9456,24603.65174095786,24603.65174095786,27016.59734095786,7189,2,0.096,24603.65174095786,28203.65174095786,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,22,22.6416,11.3208,27016.59734095786,27016.59734095786,27027.91814095786,2950,2,0.096,27016.59734095786,30616.59734095786,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,23,79.9648,39.9824,27016.59734095786,27016.59734095786,27056.57974095786,4829,2,0.096,27016.59734095786,30616.59734095786,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,24,20936.1136,10468.0568,27016.59734095786,27016.59734095786,37484.65414095786,3139,2,0.096,27016.59734095786,37816.59734095786,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,25,528.0,264.0,27027.91814095786,27027.91814095786,27291.91814095786,2845,2,0.096,27027.91814095786,30627.91814095786,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,26,98.2384,49.1192,27016.59734095786,27016.59734095786,27065.71654095786,4383,2,0.096,27016.59734095786,30616.59734095786,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,27,31.2448,15.6224,37484.65414095786,37484.65414095786,37500.27654095786,7981,2,0.096,37484.65414095786,41084.65414095786,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,28,0.9776,0.4888,396.8677409578578,396.8677409578578,397.3565409578578,9680,2,0.096,396.8677409578578,3996.8677409578577,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,29,16.2944,8.1472,382.4949409578578,382.4949409578578,390.6421409578578,2344,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,30,22.8192,11.4096,382.4949409578578,382.4949409578578,393.9045409578578,3091,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,31,19.968,9.984,382.4949409578578,382.4949409578578,392.4789409578578,3912,2,0.096,25655.006520478462,40055.00652047846,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,32,24.3648,12.1824,382.4949409578578,382.4949409578578,394.6773409578578,1434,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,33,24.3632,12.1816,382.4949409578578,382.4949409578578,394.6765409578578,6594,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,34,11.3424,5.6712,382.4949409578578,382.4949409578578,388.1661409578578,5368,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,35,19.6832,9.8416,382.4949409578578,382.4949409578578,392.3365409578578,8372,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,36,28.7456,14.3728,382.4949409578578,382.4949409578578,396.8677409578578,7148,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,37,27.3888,13.6944,382.4949409578578,382.4949409578578,396.1893409578578,7997,2,0.096,4185.151385124641,7785.151385124641,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,38,28.4192,14.2096,382.4949409578578,382.4949409578578,396.70454095785783,3854,2,0.096,382.4949409578578,3982.4949409578576,0
3,7,382.4949409578578,37500.27654095786,18941.38574095786,2.2372593866666666,39,17.2064,8.6032,382.4949409578578,382.4949409578578,391.0981409578578,8032,2,0.096,382.4949409578578,3982.4949409578576,0
